epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
172,620.763,0.10133,0.80952,1,0.89062,0.000961484,0.000961484,0.000961484
173,625.332,0.08575,0.81905,1,0.82562,0.000957358,0.000957358,0.000957358
174,628.729,0.10996,0.84762,1,0.86511,0.000953232,0.000953232,0.000953232
175,632.06,0.07691,0.8381,1,0.70952,0.000949106,0.000949106,0.000949106
176,635.611,0.07511,0.86667,1,1.20477,0.000944981,0.000944981,0.000944981
177,639.932,0.06331,0.8381,1,0.83929,0.000940855,0.000940855,0.000940855
178,643.206,0.0642,0.8381,1,1.03625,0.000936729,0.000936729,0.000936729
179,646.498,0.11302,0.8381,1,1.1413,0.000932603,0.000932603,0.000932603
180,650.8,0.08866,0.85714,1,1.06299,0.000928477,0.000928477,0.000928477
181,654.266,0.09285,0.8381,1,1.10437,0.000924352,0.000924352,0.000924352
182,657.642,0.11541,0.81905,1,0.83862,0.000920226,0.000920226,0.000920226
183,660.963,0.08854,0.80952,1,0.86462,0.0009161,0.0009161,0.0009161
184,665.425,0.08526,0.8,1,0.98822,0.000911974,0.000911974,0.000911974
185,668.75,0.08484,0.82857,1,0.72714,0.000907848,0.000907848,0.000907848
186,671.986,0.09702,0.88571,1,0.83148,0.000903722,0.000903722,0.000903722
187,675.789,0.08433,0.8381,1,1.03748,0.000899597,0.000899597,0.000899597
188,679.758,0.08497,0.82857,1,0.8736,0.000895471,0.000895471,0.000895471
189,683.208,0.08586,0.82857,1,0.68896,0.000891345,0.000891345,0.000891345
190,686.499,0.06638,0.86667,1,0.60973,0.000887219,0.000887219,0.000887219
191,690.96,0.07104,0.8381,1,0.80286,0.000883093,0.000883093,0.000883093
192,694.406,0.03713,0.81905,1,0.81677,0.000878967,0.000878967,0.000878967
193,697.694,0.06281,0.8,1,0.90686,0.000874842,0.000874842,0.000874842
194,701.275,0.07374,0.81905,1,0.77301,0.000870716,0.000870716,0.000870716
195,705.357,0.04334,0.82857,1,1.04761,0.00086659,0.00086659,0.00086659
196,708.731,0.04612,0.8381,1,0.92711,0.000862464,0.000862464,0.000862464
197,712.155,0.08456,0.82857,1,1.23145,0.000858338,0.000858338,0.000858338
198,716.366,0.04493,0.80952,1,1.06268,0.000854212,0.000854212,0.000854212
199,719.871,0.07657,0.85714,1,0.82211,0.000850087,0.000850087,0.000850087
200,723.296,0.07454,0.8381,1,0.89838,0.000845961,0.000845961,0.000845961
201,726.587,0.06011,0.85714,1,0.8349,0.000841835,0.000841835,0.000841835
202,731.047,0.09154,0.87619,1,0.68596,0.000837709,0.000837709,0.000837709
203,734.375,0.05851,0.85714,1,0.78387,0.000833583,0.000833583,0.000833583
204,737.659,0.06715,0.84762,1,0.65366,0.000829458,0.000829458,0.000829458
205,741.674,0.05228,0.84762,1,1.00024,0.000825332,0.000825332,0.000825332
206,745.591,0.06272,0.82857,1,0.65381,0.000821206,0.000821206,0.000821206
207,749.127,0.06135,0.81905,1,0.65598,0.00081708,0.00081708,0.00081708
208,752.334,0.07148,0.80952,1,0.77661,0.000812954,0.000812954,0.000812954
209,756.854,0.05705,0.82857,1,0.79663,0.000808828,0.000808828,0.000808828
210,760.117,0.05903,0.80952,1,0.78387,0.000804703,0.000804703,0.000804703
211,763.461,0.06927,0.82857,1,0.68725,0.000800577,0.000800577,0.000800577
212,766.921,0.07797,0.84762,1,0.64804,0.000796451,0.000796451,0.000796451
213,771.33,0.05644,0.82857,1,0.56185,0.000792325,0.000792325,0.000792325
214,774.671,0.0455,0.84762,1,0.89404,0.000788199,0.000788199,0.000788199
215,778.108,0.06061,0.84762,1,1.02051,0.000784073,0.000784073,0.000784073
216,782.521,0.06979,0.84762,1,1.58282,0.000779948,0.000779948,0.000779948
217,785.864,0.10486,0.8381,1,0.99207,0.000775822,0.000775822,0.000775822
218,789.182,0.05708,0.84762,1,0.96805,0.000771696,0.000771696,0.000771696
219,792.511,0.05553,0.8,1,0.80249,0.00076757,0.00076757,0.00076757
220,796.935,0.05156,0.80952,1,0.74396,0.000763444,0.000763444,0.000763444
